date,startup,vertical,city,investors,round,amount_crore_rs,month,day,year
2017-04-17,Be U Salons,Consumer Internet,New Delhi,"Gaurav Kachru, Sundeep Singh Sahni, Jatin Aneja, Arun Malhotra",Seed Funding,5.115,4,17,2017
2017-04-17,Simulanis,Consumer Internet,New Delhi,Village Capital,Seed Funding,0.0,4,17,2017
2017-04-17,Lendingkart,Consumer Internet,Ahmedabad,Anicut Capital,Private Equity,38.3625,4,17,2017
2017-04-18,Innefu Security Consulting,Tech,New Delhi,IndiaNivesh Venture Capital Fund,Private Equity,16.5,4,18,2017
2017-04-18,Whodat,Tech,Bengaluru,Ideaspring Capital,Private Equity,4.95,4,18,2017
2017-04-18,Absentia,Tech,Bengaluru,Exfinity Venture Partners,Private Equity,10.3125,4,18,2017
2017-04-19,IOTrek,Tech,New Delhi,Undisclosed Investor,Seed Funding,1.27875,4,19,2017
2017-04-20,HolaChef,Consumer Internet,Mumbai,"SIDBI Venture Capital Ltd, Kalaari Capital",Private Equity,24.75,4,20,2017
2017-04-20,Wooplr,E-commerce,Bengaluru,Ankit Nagori,Private Equity,0.0,4,20,2017
2017-04-21,Video Ken,Consumer Internet,Bengaluru,"Ravi Garikipati, Surot Chatterjee, Ashish Agrawal, LG Chandrasekhar, Sashi Reddi",Seed Funding,8.25,4,21,2017
2017-04-24,Faasos,Food & Beverage,Pune,"Ligthbox Ventures II, Lightbox Expansion Fund, Sequoia Capital India, RuNet South Asia, RB Investments",Private Equity,51.975,4,24,2017
2017-04-24,Oyo,Consumer Internet,Gurugram,"SoftBank Vision Fund, Lightspeed Venture Partners, Sequoia Capital India Advisors, Greenoaks Capital Partners",Private Equity,2062.5,4,24,2017
2017-04-24,Toppr,Consumer Internet,Mumbai,WGG International,Private Equity,26.4,4,24,2017
2017-04-24,Niramai,Healthcare,Bengaluru,"pi Ventures, Axilor Ventures, 500 Startups, Binny Bansal",Seed Funding,0.0,4,24,2017
2017-04-25,The Office Pass,Consumer Internet,Gurugram,"Arun Tadanki, Aditya Verma",Seed Funding,2.02125,4,25,2017
2017-04-25,UrbanClap,Consumer Internet,Gurugram,Trifecta Capital,Private Equity,25.575,4,25,2017
2017-04-26,Awfis,Consumer Internet,Mumbai,Sequoia India,Private Equity,165.0,4,26,2017
2017-04-26,Myra,Consumer Internet,Bengaluru,"Times Internet,Matrix Partners",Private Equity,0.0,4,26,2017
2017-04-26,Flytxt,Tech,Mumbai,DAH Beteiligungs GmbH,Private Equity,90.75,4,26,2017
2017-04-26,Howdy Ventures,Consumer Internet,Chennai,S. Xavier Britto,Seed Funding,12.375,4,26,2017
2017-04-26,Stalk Buy Love,E-commerce,New Delhi,Trifecta Capital,Private Equity,8.25,4,26,2017
2017-04-26,ZipGo,Consumer Internet,Bengaluru,"Orios Ventures Partners, Team Builder Ventures, Omidyar Networks",Private Equity,0.0,4,26,2017
